true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.54,0.5,0.143,0.377,38.5,76.2,58.0,73.0,7.6,6.3,17.5,100.0,105.5,97.9
0.546,0.513,0.213,0.275,26.2,73.9,51.1,54.1,11.9,11.9,13.5,100.0,106.1,94.2
0.47,0.418,0.253,0.392,26.1,73.8,48.9,48.4,8.7,6.3,14.7,100.0,94.2,106.1
0.541,0.5,0.266,0.278,22.2,78.4,50.7,64.9,9.0,10.0,11.9,100.0,107.7,98.7
0.541,0.519,0.221,0.13,21.6,77.8,49.3,52.8,7.9,15.5,17.3,100.0,98.7,107.7
0.523,0.481,0.167,0.346,26.2,78.4,50.6,52.8,6.6,9.1,11.8,100.0,103.7,120.3
0.599,0.563,0.175,0.313,21.6,73.8,49.4,47.6,7.7,6.2,10.8,100.0,120.3,103.7
0.519,0.488,0.163,0.198,33.3,78.0,55.4,71.1,11.3,7.3,11.4,100.0,109.3,93.5
0.493,0.447,0.267,0.28,22.0,66.7,44.6,50.0,5.6,4.2,16.8,100.0,93.5,109.3
0.396,0.36,0.116,0.163,28.0,68.3,46.2,58.1,10.2,4.5,13.2,100.0,82.5,108.5
0.522,0.488,0.212,0.188,31.7,72.0,53.8,59.0,10.2,10.5,11.5,100.0,108.5,82.5
0.417,0.338,0.247,0.455,25.5,68.4,44.7,64.0,7.7,10.2,15.5,100.0,84.3,111.7
0.567,0.513,0.253,0.316,31.6,74.5,55.3,54.1,9.9,12.1,13.5,100.0,111.7,84.3
0.528,0.481,0.388,0.338,30.2,77.5,53.0,67.7,7.1,0.0,9.8,100.0,114.8,100.6
0.522,0.493,0.233,0.26,22.5,69.8,47.0,57.6,8.3,20.4,13.8,100.0,100.6,114.8
0.476,0.438,0.213,0.263,28.6,78.4,51.9,48.5,9.9,15.9,17.6,100.0,93.4,103.3
0.558,0.521,0.113,0.423,21.6,71.4,48.1,47.2,11.0,15.9,14.3,100.0,103.3,93.4
0.504,0.472,0.202,0.236,30.6,77.3,52.7,56.4,13.8,4.2,16.2,100.0,97.8,94.8
0.529,0.518,0.165,0.153,22.7,69.4,47.3,43.9,10.9,16.9,20.2,100.0,94.8,97.8
0.518,0.476,0.171,0.244,38.6,86.7,58.1,58.3,8.7,7.0,17.3,100.0,102.6,119.0
0.636,0.62,0.145,0.072,13.3,61.4,41.9,68.1,17.5,11.8,13.2,100.0,119.0,102.6
0.531,0.453,0.172,0.438,17.1,84.6,52.7,65.4,12.2,0.0,20.8,100.0,89.5,106.1
0.553,0.486,0.257,0.392,15.4,82.9,47.3,68.8,13.3,3.8,13.9,100.0,106.1,89.5
0.561,0.518,0.337,0.241,31.6,70.6,53.9,66.7,13.4,9.6,10.7,100.0,115.4,89.6
0.456,0.429,0.333,0.282,29.4,68.4,46.1,58.6,9.0,9.1,18.6,100.0,89.6,115.4
0.471,0.42,0.198,0.346,31.9,73.7,50.6,78.1,10.6,9.8,8.8,100.0,103.8,102.6
0.54,0.464,0.271,0.343,26.3,68.1,49.4,65.5,3.5,4.6,17.4,100.0,102.6,103.8
0.518,0.465,0.247,0.259,40.0,65.0,51.8,50.0,3.4,4.1,14.5,100.0,112.3,108.9
0.507,0.466,0.161,0.172,35.0,60.0,48.2,60.5,8.0,7.8,10.5,100.0,108.9,112.3
0.392,0.354,0.18,0.236,40.7,66.7,51.6,41.4,4.7,10.3,11.7,100.0,91.1,117.1
0.56,0.519,0.117,0.338,33.3,59.3,48.4,38.5,7.1,8.2,11.1,100.0,117.1,91.1
0.468,0.4,0.25,0.338,31.0,78.4,53.2,62.1,7.9,4.0,13.2,100.0,97.1,103.9
0.531,0.478,0.275,0.58,21.6,69.0,46.8,54.8,11.3,15.0,13.1,100.0,103.9,97.1
0.583,0.533,0.197,0.316,28.6,66.0,51.1,71.1,12.4,16.0,20.3,100.0,104.8,93.4
0.464,0.398,0.398,0.386,34.0,71.4,48.9,85.7,14.5,4.9,17.8,100.0,93.4,104.8
0.343,0.324,0.141,0.141,27.3,75.0,48.5,55.6,4.5,8.1,15.8,100.0,69.2,108.3
0.511,0.464,0.253,0.325,25.0,72.7,51.5,55.6,14.5,11.0,7.8,100.0,108.3,69.2
0.633,0.617,0.198,0.321,30.3,60.5,46.5,54.3,9.6,5.8,13.2,100.0,124.2,128.5
0.624,0.601,0.225,0.202,39.5,69.7,53.5,55.1,6.4,7.7,13.4,100.0,128.5,124.2
0.421,0.414,0.097,0.108,18.4,65.8,39.1,60.5,18.9,7.3,8.5,100.0,86.2,94.6
0.541,0.514,0.257,0.284,34.2,81.6,60.9,68.6,6.3,6.0,24.5,100.0,94.6,86.2
