true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.578,0.538,0.359,0.163,23.3,78.4,48.8,86.0,12.0,7.4,12.4,100.0,114.4,99.3
0.473,0.443,0.167,0.281,25.9,81.5,53.7,66.7,7.5,11.5,12.2,100.0,95.2,86.8
0.451,0.414,0.344,0.247,18.5,74.1,46.3,60.6,6.5,7.5,14.9,100.0,86.8,95.2
0.534,0.506,0.326,0.151,16.3,85.4,50.0,53.8,7.4,10.0,11.6,100.0,103.2,112.7
0.571,0.53,0.286,0.262,14.6,83.7,50.0,50.0,5.3,3.4,8.8,100.0,112.7,103.2
0.552,0.483,0.349,0.337,26.8,76.6,53.4,42.1,7.1,4.5,12.4,100.0,111.1,107.0
0.53,0.5,0.25,0.284,23.4,73.2,46.6,69.0,8.2,8.9,10.8,100.0,107.0,111.1
0.476,0.433,0.11,0.232,35.4,77.8,55.9,52.9,12.1,4.8,16.6,100.0,94.4,103.2
0.528,0.5,0.244,0.195,22.2,64.6,44.1,73.0,9.9,8.2,14.4,100.0,103.2,94.4
0.561,0.506,0.157,0.289,26.3,75.6,51.9,61.5,10.6,14.9,12.2,100.0,111.6,103.1
0.53,0.519,0.413,0.325,24.4,73.7,48.1,66.7,6.4,14.3,14.9,100.0,103.1,111.6
0.506,0.457,0.424,0.239,31.9,70.5,50.5,71.1,13.0,2.9,15.0,100.0,103.4,94.3
0.5,0.471,0.218,0.184,29.5,68.1,49.5,68.4,9.0,5.7,18.3,100.0,94.3,103.4
0.542,0.507,0.26,0.425,14.3,81.8,44.0,44.1,7.4,0.0,14.8,100.0,99.1,120.2
0.626,0.611,0.259,0.284,18.2,85.7,56.0,77.8,11.6,5.6,11.6,100.0,120.2,99.1
0.407,0.363,0.209,0.154,24.5,77.5,47.3,53.3,8.6,2.1,12.6,100.0,84.7,95.5
0.543,0.5,0.365,0.243,22.5,75.5,52.7,58.1,7.5,13.9,20.4,100.0,95.5,84.7
0.493,0.467,0.2,0.211,24.5,76.1,49.5,56.4,5.5,6.8,6.6,100.0,106.2,110.6
0.537,0.506,0.289,0.301,23.9,75.5,50.5,65.8,5.5,5.6,9.6,100.0,110.6,106.2
0.471,0.415,0.268,0.31,16.7,70.5,44.2,60.7,9.1,7.9,16.5,100.0,86.4,109.1
0.511,0.47,0.241,0.301,29.5,83.3,55.8,51.4,9.1,15.4,9.6,100.0,109.1,86.4
0.456,0.431,0.287,0.245,22.2,77.3,46.9,52.8,7.3,5.3,8.0,100.0,99.7,103.9
0.512,0.446,0.321,0.345,22.7,77.8,53.1,66.7,5.2,7.5,8.5,100.0,103.9,99.7
0.54,0.494,0.19,0.31,16.7,60.5,38.8,47.4,6.6,1.4,19.4,100.0,97.6,117.4
0.578,0.543,0.213,0.319,39.5,83.3,61.2,53.1,13.3,11.8,12.3,100.0,117.4,97.6
0.568,0.547,0.313,0.229,35.3,80.0,53.5,34.0,13.5,9.8,7.8,100.0,124.3,106.7
0.614,0.599,0.329,0.237,20.0,64.7,46.5,58.5,5.2,3.0,20.8,100.0,106.7,124.3
