team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,2017-11-13,240,35,88,16,45,18,22,14,34,21,7,7,20,21
NEW YORK KNICKS,2017-11-13,240,38,88,8,25,17,22,13,36,19,13,3,17,21
LOS ANGELES LAKERS,2017-11-13,240,39,92,14,33,8,13,9,44,17,6,6,16,20
PHOENIX SUNS,2017-11-13,240,37,95,7,26,12,20,11,43,15,6,4,15,17
DENVER NUGGETS,2017-11-13,240,30,84,9,32,13,15,12,23,13,9,2,20,16
PORTLAND TRAIL BLAZERS,2017-11-13,240,38,73,7,21,16,18,8,35,22,12,5,21,18
MINNESOTA TIMBERWOLVES,2017-11-13,240,37,71,10,20,25,29,5,35,22,9,5,15,13
UTAH JAZZ,2017-11-13,240,37,84,14,40,10,11,8,23,23,8,4,15,23
SACRAMENTO KINGS,2017-11-13,240,34,84,12,23,12,18,10,25,19,8,4,10,15
WASHINGTON WIZARDS,2017-11-13,240,44,86,11,34,11,12,10,40,30,7,1,11,21
BOSTON CELTICS,2017-11-14,240,39,86,9,27,22,27,9,40,15,8,3,14,14
BROOKLYN NETS,2017-11-14,240,39,88,14,35,10,16,9,34,26,4,3,14,24
SAN ANTONIO SPURS,2017-11-14,240,35,79,6,26,21,27,8,39,18,9,7,12,16
DALLAS MAVERICKS,2017-11-14,240,33,81,10,34,15,18,5,35,18,7,4,15,23
TORONTO RAPTORS,2017-11-14,240,41,78,14,30,33,42,5,31,28,11,4,12,30
HOUSTON ROCKETS,2017-11-14,240,33,79,12,39,35,41,14,34,21,4,4,19,27
SACRAMENTO KINGS,2017-11-15,240,31,88,6,28,12,20,11,18,18,12,2,12,19
ATLANTA HAWKS,2017-11-15,240,50,79,16,32,10,16,9,44,40,9,6,18,23
CLEVELAND CAVALIERS,2017-11-15,240,42,95,13,38,18,20,16,35,25,9,4,13,24
CHARLOTTE HORNETS,2017-11-15,240,41,86,6,26,19,28,8,33,21,7,5,13,19
PHILADELPHIA 76ERS,2017-11-15,240,42,86,7,32,24,30,8,44,27,7,15,16,19
LOS ANGELES LAKERS,2017-11-15,240,42,109,3,27,22,27,22,35,18,7,6,9,23
INDIANA PACERS,2017-11-15,240,43,85,12,24,18,20,5,31,29,6,6,12,17
MEMPHIS GRIZZLIES,2017-11-15,240,44,86,8,32,17,22,11,32,29,5,10,14,19
WASHINGTON WIZARDS,2017-11-15,240,32,78,9,19,29,31,11,29,9,8,2,12,19
MIAMI HEAT,2017-11-15,240,32,78,13,30,16,19,12,30,15,3,3,17,20
DETROIT PISTONS,2017-11-15,240,30,85,15,37,20,23,17,28,23,7,3,16,20
MILWAUKEE BUCKS,2017-11-15,240,38,78,8,22,15,20,11,32,24,10,16,15,19
SAN ANTONIO SPURS,2017-11-15,240,33,79,7,24,13,15,13,32,20,4,4,16,18
MINNESOTA TIMBERWOLVES,2017-11-15,240,39,87,9,18,11,16,11,30,27,9,4,6,16
TORONTO RAPTORS,2017-11-15,240,45,76,16,34,19,20,6,31,27,8,6,21,20
NEW ORLEANS PELICANS,2017-11-15,240,46,91,10,27,14,14,10,22,31,13,3,14,21
UTAH JAZZ,2017-11-15,240,34,79,17,35,16,17,9,28,19,5,10,13,23
NEW YORK KNICKS,2017-11-15,240,38,81,9,21,21,25,12,33,18,4,5,11,19
CHICAGO BULLS,2017-11-15,240,26,75,11,29,16,20,6,32,16,7,2,13,27
OKLAHOMA CITY THUNDER,2017-11-15,240,26,72,8,30,32,37,11,37,15,7,2,13,19
ORLANDO MAGIC,2017-11-15,240,37,79,11,29,9,9,7,34,19,6,4,15,16
PORTLAND TRAIL BLAZERS,2017-11-15,240,38,87,14,27,9,13,10,31,21,7,2,12,10
GOLDEN STATE WARRIORS,2017-11-16,240,33,82,10,32,12,19,7,40,22,9,10,15,24
BOSTON CELTICS,2017-11-16,240,26,79,7,32,33,38,7,45,15,8,5,15,15
HOUSTON ROCKETS,2017-11-16,240,43,90,21,44,35,38,12,39,27,9,9,14,20
PHOENIX SUNS,2017-11-16,240,47,104,10,30,12,21,16,31,28,9,5,14,22
UTAH JAZZ,2017-11-17,240,39,79,12,26,17,24,10,29,21,6,6,16,19
BROOKLYN NETS,2017-11-17,240,43,84,17,37,15,20,4,32,27,8,2,12,21
CHARLOTTE HORNETS,2017-11-17,240,42,81,10,21,26,34,5,37,19,3,2,12,15
CHICAGO BULLS,2017-11-17,240,47,91,17,34,12,13,4,31,26,9,2,11,23
LOS ANGELES CLIPPERS,2017-11-17,265,46,103,10,35,11,14,13,42,29,7,10,15,26
CLEVELAND CAVALIERS,2017-11-17,265,42,90,11,33,23,29,8,43,24,9,4,15,20
MINNESOTA TIMBERWOLVES,2017-11-17,240,39,84,13,30,20,23,11,37,27,7,0,10,18
DALLAS MAVERICKS,2017-11-17,240,32,86,8,38,15,17,11,30,18,3,3,11,20
NEW ORLEANS PELICANS,2017-11-17,240,48,91,12,33,6,10,8,21,32,2,0,13,19
DENVER NUGGETS,2017-11-17,240,56,89,18,35,16,21,13,35,37,5,4,14,15
DETROIT PISTONS,2017-11-17,240,39,93,14,33,8,10,11,32,20,4,8,11,18
INDIANA PACERS,2017-11-17,240,39,89,15,28,14,21,13,38,22,4,5,10,13
PHOENIX SUNS,2017-11-17,240,48,103,13,32,13,19,9,35,28,10,5,13,22
LOS ANGELES LAKERS,2017-11-17,240,45,91,7,25,16,24,9,40,26,7,10,19,20
PORTLAND TRAIL BLAZERS,2017-11-17,240,30,81,7,25,15,16,11,33,13,8,1,17,20
SACRAMENTO KINGS,2017-11-17,240,36,85,4,14,10,15,12,31,20,11,5,13,22
OKLAHOMA CITY THUNDER,2017-11-17,240,39,89,9,23,14,21,13,28,24,7,3,8,22
SAN ANTONIO SPURS,2017-11-17,240,34,77,14,35,22,28,12,32,23,6,7,13,18
NEW YORK KNICKS,2017-11-17,240,30,91,9,23,15,17,14,29,17,7,4,9,12
TORONTO RAPTORS,2017-11-17,240,44,78,9,26,10,11,3,37,29,4,11,12,19
MIAMI HEAT,2017-11-17,240,34,83,10,35,13,18,10,42,21,6,7,15,19
WASHINGTON WIZARDS,2017-11-17,240,32,84,10,35,14,16,7,39,18,4,4,12,17
BOSTON CELTICS,2017-11-18,240,39,82,16,34,16,20,9,32,21,9,6,15,22
ATLANTA HAWKS,2017-11-18,240,37,78,9,24,16,20,6,29,24,7,1,13,19
LOS ANGELES CLIPPERS,2017-11-18,240,33,83,8,29,13,19,7,37,18,5,6,14,22
CHARLOTTE HORNETS,2017-11-18,240,34,87,11,26,23,29,8,41,20,7,9,8,16
MILWAUKEE BUCKS,2017-11-18,240,28,74,6,25,17,31,8,30,13,8,5,12,25
DALLAS MAVERICKS,2017-11-18,240,38,79,19,38,16,19,7,42,27,7,2,16,26
HOUSTON ROCKETS,2017-11-18,240,35,78,18,43,17,21,9,36,21,8,9,16,24
MEMPHIS GRIZZLIES,2017-11-18,240,31,86,7,27,14,19,15,33,18,6,7,12,18
UTAH JAZZ,2017-11-18,240,47,98,14,34,17,18,14,40,31,10,4,10,19
ORLANDO MAGIC,2017-11-18,240,31,81,8,29,15,23,11,35,13,10,5,16,20
GOLDEN STATE WARRIORS,2017-11-18,240,50,91,7,23,17,20,11,37,25,5,6,12,18
PHILADELPHIA 76ERS,2017-11-18,240,47,97,10,29,12,16,11,29,28,8,5,11,22
SACRAMENTO KINGS,2017-11-18,240,34,89,8,17,14,18,9,27,14,9,4,11,24
PORTLAND TRAIL BLAZERS,2017-11-18,240,38,70,10,21,16,21,5,39,19,6,8,17,22
GOLDEN STATE WARRIORS,2017-11-19,240,46,90,10,24,16,23,6,51,29,8,14,15,27
BROOKLYN NETS,2017-11-19,240,34,95,16,48,27,39,13,39,24,7,2,13,21
DENVER NUGGETS,2017-11-19,240,36,84,13,31,24,35,17,30,18,8,8,20,15
LOS ANGELES LAKERS,2017-11-19,240,53,100,12,32,9,16,13,33,36,11,5,15,27
INDIANA PACERS,2017-11-19,240,51,85,11,23,7,8,9,33,33,9,7,12,14
MIAMI HEAT,2017-11-19,240,35,83,13,37,12,14,10,25,21,8,2,14,11
DETROIT PISTONS,2017-11-19,240,39,83,8,25,14,20,11,26,25,10,2,19,21
MINNESOTA TIMBERWOLVES,2017-11-19,240,40,78,5,22,12,18,6,32,23,11,4,20,20
CHICAGO BULLS,2017-11-19,240,42,101,12,36,9,14,12,35,20,5,1,11,21
PHOENIX SUNS,2017-11-19,240,45,89,7,27,16,22,9,39,32,5,4,12,16
WASHINGTON WIZARDS,2017-11-19,240,34,81,11,19,12,21,8,35,20,5,3,14,12
TORONTO RAPTORS,2017-11-19,240,40,90,10,39,10,14,11,37,20,8,7,7,19
MINNESOTA TIMBERWOLVES,2017-11-20,240,37,90,6,27,22,26,10,28,13,8,6,10,21
CHARLOTTE HORNETS,2017-11-20,240,42,85,11,26,23,29,11,41,22,5,7,17,18
BOSTON CELTICS,2017-11-20,265,38,84,13,36,21,26,5,48,24,8,4,17,24
DALLAS MAVERICKS,2017-11-20,265,39,96,7,33,17,20,8,37,18,7,3,11,22
CLEVELAND CAVALIERS,2017-11-20,240,42,80,16,33,16,17,7,35,28,4,2,11,14
DETROIT PISTONS,2017-11-20,240,34,77,13,30,7,13,7,27,23,7,2,14,19
PORTLAND TRAIL BLAZERS,2017-11-20,240,33,83,6,15,28,32,15,45,11,1,9,15,23
MEMPHIS GRIZZLIES,2017-11-20,240,33,86,8,30,18,23,5,30,23,6,9,8,26
WASHINGTON WIZARDS,2017-11-20,240,39,74,9,24,12,17,8,38,23,4,1,16,18
MILWAUKEE BUCKS,2017-11-20,240,35,79,4,22,14,19,6,27,17,10,7,9,19
OKLAHOMA CITY THUNDER,2017-11-20,240,38,89,11,35,20,26,9,31,22,14,2,14,25
NEW ORLEANS PELICANS,2017-11-20,240,41,80,7,25,25,32,7,42,26,8,3,19,22
LOS ANGELES CLIPPERS,2017-11-20,240,30,80,10,32,15,21,10,26,20,12,3,21,23
NEW YORK KNICKS,2017-11-20,240,35,81,13,34,24,25,14,37,24,11,5,22,26
INDIANA PACERS,2017-11-20,240,37,89,8,20,23,29,8,40,25,17,4,12,25
ORLANDO MAGIC,2017-11-20,240,35,84,13,38,14,23,11,39,23,6,7,22,20
UTAH JAZZ,2017-11-20,240,30,85,9,28,17,19,7,27,18,16,4,14,19
PHILADELPHIA 76ERS,2017-11-20,240,44,85,4,15,15,22,9,46,20,11,7,19,18
DENVER NUGGETS,2017-11-20,240,42,86,15,32,15,20,14,35,18,6,3,13,13
SACRAMENTO KINGS,2017-11-20,240,41,86,8,20,8,9,5,29,18,11,6,12,19
ATLANTA HAWKS,2017-11-20,240,37,85,8,30,3,8,9,29,21,7,7,15,15
SAN ANTONIO SPURS,2017-11-20,240,40,89,10,31,6,6,14,38,29,7,5,18,17
CHICAGO BULLS,2017-11-21,240,36,94,11,36,11,16,15,39,22,4,4,14,19
LOS ANGELES LAKERS,2017-11-21,240,36,90,13,40,18,25,12,41,23,7,6,12,16
LOS ANGELES CLIPPERS,2017-11-22,240,44,76,15,30,13,19,6,27,30,7,4,15,15
ATLANTA HAWKS,2017-11-22,240,40,83,10,29,13,15,9,27,26,10,2,15,20
WASHINGTON WIZARDS,2017-11-22,265,48,99,11,33,17,22,9,34,25,4,6,12,29
CHARLOTTE HORNETS,2017-11-22,265,43,91,10,28,33,40,14,34,23,5,5,11,20
BROOKLYN NETS,2017-11-22,240,42,81,14,37,11,16,8,34,26,5,2,19,21
CLEVELAND CAVALIERS,2017-11-22,240,43,82,14,34,19,27,4,29,21,8,2,10,19
DENVER NUGGETS,2017-11-22,240,35,87,10,33,15,23,15,28,19,11,5,19,14
HOUSTON ROCKETS,2017-11-22,240,45,82,18,41,17,23,8,38,30,13,4,18,22
DALLAS MAVERICKS,2017-11-22,240,39,91,9,28,8,16,4,36,23,9,2,8,14
MEMPHIS GRIZZLIES,2017-11-22,240,37,81,7,29,13,14,6,46,25,7,6,17,25
BOSTON CELTICS,2017-11-22,240,35,84,9,26,19,27,7,30,19,11,4,11,19
MIAMI HEAT,2017-11-22,240,40,81,10,28,14,16,7,41,20,3,4,16,22
ORLANDO MAGIC,2017-11-22,240,46,91,12,37,14,22,7,37,28,4,4,14,31
MINNESOTA TIMBERWOLVES,2017-11-22,240,40,87,8,23,36,45,10,32,22,9,3,7,17
SAN ANTONIO SPURS,2017-11-22,240,35,88,6,24,14,15,8,31,22,10,5,15,23
NEW ORLEANS PELICANS,2017-11-22,240,39,81,7,24,22,24,7,38,23,7,2,15,18
TORONTO RAPTORS,2017-11-22,240,37,87,14,38,12,18,12,30,21,4,10,15,23
NEW YORK KNICKS,2017-11-22,240,43,93,8,24,14,17,13,34,29,8,7,11,19
GOLDEN STATE WARRIORS,2017-11-22,240,33,80,10,31,15,18,7,32,22,11,8,22,20
OKLAHOMA CITY THUNDER,2017-11-22,240,41,90,8,25,18,26,13,37,16,15,5,16,21
PORTLAND TRAIL BLAZERS,2017-11-22,240,30,89,7,26,14,24,11,37,14,8,6,17,17
PHILADELPHIA 76ERS,2017-11-22,240,39,90,11,32,12,17,11,46,23,12,8,18,21
MILWAUKEE BUCKS,2017-11-22,265,42,97,8,29,21,31,13,29,19,16,6,14,30
PHOENIX SUNS,2017-11-22,265,37,93,7,22,26,33,22,38,15,7,9,29,26
LOS ANGELES LAKERS,2017-11-22,240,39,78,15,29,9,15,4,28,27,8,4,17,19
SACRAMENTO KINGS,2017-11-22,240,47,85,10,21,9,14,10,34,26,9,4,17,20
CHICAGO BULLS,2017-11-22,240,29,78,5,21,17,20,8,35,15,3,1,16,21
UTAH JAZZ,2017-11-22,240,40,86,14,35,16,19,8,37,23,10,5,7,15
NEW YORK KNICKS,2017-11-24,240,40,78,12,30,12,14,5,33,30,1,9,20,19
ATLANTA HAWKS,2017-11-24,240,47,99,13,31,9,12,13,27,30,7,2,9,16
ORLANDO MAGIC,2017-11-24,240,41,95,9,24,12,19,16,35,21,6,4,12,16
BOSTON CELTICS,2017-11-24,240,42,91,17,42,17,25,13,33,27,6,10,8,20
PORTLAND TRAIL BLAZERS,2017-11-24,240,48,96,6,15,25,35,12,33,24,5,13,7,16
BROOKLYN NETS,2017-11-24,240,50,100,10,25,15,21,13,34,25,4,6,9,22
CHARLOTTE HORNETS,2017-11-24,240,36,94,11,29,16,27,15,40,25,4,3,9,17
CLEVELAND CAVALIERS,2017-11-24,240,38,83,13,39,11,15,3,42,25,4,7,12,24
MEMPHIS GRIZZLIES,2017-11-24,240,36,73,9,24,11,16,3,20,28,10,3,18,21
DENVER NUGGETS,2017-11-24,240,40,79,9,32,15,26,15,35,24,9,4,21,18
CHICAGO BULLS,2017-11-24,240,35,99,13,36,11,15,13,27,18,7,2,15,17
GOLDEN STATE WARRIORS,2017-11-24,240,53,91,16,36,21,21,6,43,36,11,11,11,15
TORONTO RAPTORS,2017-11-24,240,40,81,9,30,15,20,7,35,17,14,4,18,20
INDIANA PACERS,2017-11-24,240,38,83,11,26,20,27,10,31,19,10,3,16,18
MIAMI HEAT,2017-11-24,240,38,80,19,39,14,16,9,33,29,4,4,13,24
MINNESOTA TIMBERWOLVES,2017-11-24,240,37,84,7,17,16,26,13,31,21,9,3,10,16
DETROIT PISTONS,2017-11-24,240,39,84,14,37,7,9,8,35,22,6,5,20,17
OKLAHOMA CITY THUNDER,2017-11-24,240,42,98,8,32,6,8,13,32,22,13,6,14,12
NEW ORLEANS PELICANS,2017-11-24,240,45,91,9,27,16,22,13,36,29,10,4,15,18
PHOENIX SUNS,2017-11-24,240,37,94,2,20,15,18,15,33,12,9,6,16,18
TORONTO RAPTORS,2017-11-25,240,46,84,13,32,7,9,11,35,31,10,3,16,22
ATLANTA HAWKS,2017-11-25,240,26,75,6,27,20,23,7,25,18,9,1,18,15
SAN ANTONIO SPURS,2017-11-25,240,39,81,6,25,22,25,8,37,22,8,7,11,19
CHARLOTTE HORNETS,2017-11-25,240,31,84,4,25,20,26,14,28,20,7,4,14,19
OKLAHOMA CITY THUNDER,2017-11-25,240,29,80,13,35,10,13,8,31,24,12,1,17,15
DALLAS MAVERICKS,2017-11-25,240,37,75,15,35,8,11,8,35,25,11,5,17,18
NEW ORLEANS PELICANS,2017-11-25,240,34,84,11,31,16,23,9,36,24,2,9,17,24
GOLDEN STATE WARRIORS,2017-11-25,240,39,94,10,33,22,27,11,33,30,11,6,9,24
NEW YORK KNICKS,2017-11-25,240,42,85,4,17,14,19,6,34,29,4,3,18,20
HOUSTON ROCKETS,2017-11-25,240,41,94,18,47,17,22,9,33,30,12,6,7,15
BOSTON CELTICS,2017-11-25,240,45,80,10,25,8,9,4,26,22,8,4,14,13
INDIANA PACERS,2017-11-25,240,38,78,7,23,15,15,10,26,20,9,2,18,14
ORLANDO MAGIC,2017-11-25,240,39,86,12,31,21,31,7,34,22,8,5,9,17
PHILADELPHIA 76ERS,2017-11-25,240,48,95,16,34,18,20,11,42,35,7,2,11,22
LOS ANGELES CLIPPERS,2017-11-25,240,38,80,9,28,12,13,6,31,23,11,5,16,13
SACRAMENTO KINGS,2017-11-25,240,38,83,11,21,8,9,8,29,19,9,8,18,17
MILWAUKEE BUCKS,2017-11-25,240,41,77,8,21,18,23,8,32,19,5,6,16,21
UTAH JAZZ,2017-11-25,240,46,81,18,32,11,19,5,25,31,8,2,10,19
PORTLAND TRAIL BLAZERS,2017-11-25,240,41,80,9,24,17,22,6,35,18,3,6,16,16
WASHINGTON WIZARDS,2017-11-25,240,41,89,8,23,15,16,7,30,20,9,4,11,17
MIAMI HEAT,2017-11-26,240,34,75,13,32,19,23,1,44,19,9,5,12,14
CHICAGO BULLS,2017-11-26,240,33,89,14,33,13,16,7,40,25,10,2,13,18
BROOKLYN NETS,2017-11-26,240,33,74,13,29,19,23,12,31,19,7,7,17,22
MEMPHIS GRIZZLIES,2017-11-26,240,32,80,8,25,16,18,11,24,15,8,3,14,24
PHOENIX SUNS,2017-11-26,240,43,85,13,26,9,12,11,26,25,6,1,15,20
MINNESOTA TIMBERWOLVES,2017-11-26,240,49,93,9,21,12,17,19,29,24,12,5,10,14
DETROIT PISTONS,2017-11-27,240,44,85,11,25,19,23,8,32,26,8,2,8,19
BOSTON CELTICS,2017-11-27,240,40,77,16,33,12,21,5,31,27,2,4,17,23
SACRAMENTO KINGS,2017-11-27,240,42,79,9,17,17,21,11,25,27,7,6,13,15
GOLDEN STATE WARRIORS,2017-11-27,240,40,80,16,37,10,14,9,27,31,9,6,14,15
BROOKLYN NETS,2017-11-27,240,40,86,10,39,13,17,6,37,24,5,4,13,19
HOUSTON ROCKETS,2017-11-27,240,42,86,20,50,13,20,8,34,31,8,4,15,19
ORLANDO MAGIC,2017-11-27,240,40,92,16,41,13,16,10,25,22,4,9,14,23
INDIANA PACERS,2017-11-27,240,42,79,15,26,22,26,8,35,25,7,8,14,18
LOS ANGELES LAKERS,2017-11-27,240,44,91,11,30,16,24,12,31,23,10,5,16,29
LOS ANGELES CLIPPERS,2017-11-27,240,41,85,10,28,28,30,10,34,19,7,3,17,22
PORTLAND TRAIL BLAZERS,2017-11-27,240,37,83,7,21,22,26,5,40,18,10,3,9,22
NEW YORK KNICKS,2017-11-27,240,35,88,5,15,16,22,14,37,13,3,3,13,20
CLEVELAND CAVALIERS,2017-11-27,240,41,86,15,37,16,20,11,35,25,7,3,11,21
PHILADELPHIA 76ERS,2017-11-27,240,36,96,3,28,16,20,22,31,15,6,2,12,18
DALLAS MAVERICKS,2017-11-27,240,41,85,14,32,12,17,4,36,25,7,0,11,19
SAN ANTONIO SPURS,2017-11-27,240,43,82,10,24,19,21,4,39,27,7,5,10,16
PHOENIX SUNS,2017-11-28,240,38,87,11,30,17,23,13,44,25,4,4,15,12
CHICAGO BULLS,2017-11-28,240,38,94,16,40,7,10,9,32,27,11,7,9,20
MIAMI HEAT,2017-11-28,240,37,84,10,31,13,20,8,34,24,7,5,15,19
CLEVELAND CAVALIERS,2017-11-28,240,40,81,11,33,17,23,5,40,21,12,2,13,17
WASHINGTON WIZARDS,2017-11-28,240,36,83,10,28,10,17,9,35,23,5,4,7,16
MINNESOTA TIMBERWOLVES,2017-11-28,240,35,85,10,30,9,14,13,36,27,3,1,10,17
MILWAUKEE BUCKS,2017-11-28,240,42,71,9,22,19,31,1,37,27,13,5,12,22
SACRAMENTO KINGS,2017-11-28,240,31,77,5,17,20,29,9,31,15,5,2,16,21
DENVER NUGGETS,2017-11-28,240,28,78,7,34,14,16,12,30,13,6,4,17,13
UTAH JAZZ,2017-11-28,240,42,87,14,32,8,9,9,34,24,7,6,11,20
BROOKLYN NETS,2017-11-29,240,42,90,11,29,14,25,14,38,25,5,1,14,21
DALLAS MAVERICKS,2017-11-29,240,39,84,9,27,17,21,7,37,26,5,3,11,23
PHOENIX SUNS,2017-11-29,240,39,84,7,22,22,28,8,29,21,11,4,19,19
DETROIT PISTONS,2017-11-29,240,51,89,13,28,16,21,5,39,31,11,6,19,22
INDIANA PACERS,2017-11-29,240,42,88,7,28,6,6,6,30,18,9,7,14,17
HOUSTON ROCKETS,2017-11-29,240,42,86,18,40,16,21,10,39,26,9,0,15,10
GOLDEN STATE WARRIORS,2017-11-29,265,47,94,12,30,21,28,12,37,30,10,4,22,19
LOS ANGELES LAKERS,2017-11-29,265,47,95,9,24,20,25,7,27,30,12,5,17,23
MINNESOTA TIMBERWOLVES,2017-11-29,240,47,81,9,23,17,19,10,34,30,10,1,17,14
NEW ORLEANS PELICANS,2017-11-29,240,39,84,14,35,10,11,8,20,27,8,2,16,17
MIAMI HEAT,2017-11-29,240,32,84,10,38,12,20,9,22,21,13,4,15,20
NEW YORK KNICKS,2017-11-29,240,44,73,5,13,22,26,8,44,26,10,5,20,20
OKLAHOMA CITY THUNDER,2017-11-29,240,38,96,12,32,20,30,21,27,17,8,5,13,20
ORLANDO MAGIC,2017-11-29,240,45,76,13,30,18,26,2,35,28,9,7,13,22
WASHINGTON WIZARDS,2017-11-29,240,36,89,9,22,32,37,7,28,22,8,4,11,42
PHILADELPHIA 76ERS,2017-11-29,240,37,81,3,18,41,64,21,43,23,6,8,17,27
MEMPHIS GRIZZLIES,2017-11-29,240,35,77,11,22,14,16,11,26,21,4,1,17,19
SAN ANTONIO SPURS,2017-11-29,240,38,75,8,20,20,24,5,27,22,9,5,8,17
CHARLOTTE HORNETS,2017-11-29,240,37,79,9,19,30,35,7,29,26,6,2,12,17
TORONTO RAPTORS,2017-11-29,240,52,98,14,32,8,11,11,28,24,6,2,9,23
CLEVELAND CAVALIERS,2017-11-30,240,41,79,18,39,21,27,12,28,30,9,5,19,20
ATLANTA HAWKS,2017-11-30,240,41,79,12,31,20,24,8,21,24,9,4,17,20
PHILADELPHIA 76ERS,2017-11-30,240,35,84,16,32,11,18,15,30,24,11,1,19,22
BOSTON CELTICS,2017-11-30,240,40,79,12,29,16,20,7,33,25,7,7,16,20
CHICAGO BULLS,2017-11-30,240,44,82,9,24,13,21,6,34,25,4,4,11,27
DENVER NUGGETS,2017-11-30,240,38,83,12,31,23,31,11,33,22,7,4,12,19
UTAH JAZZ,2017-11-30,240,49,85,17,35,11,14,10,23,38,13,2,13,20
LOS ANGELES CLIPPERS,2017-11-30,240,38,70,10,29,21,30,10,26,23,8,6,19,16
MILWAUKEE BUCKS,2017-11-30,240,42,87,6,20,13,15,5,30,19,11,5,9,20
PORTLAND TRAIL BLAZERS,2017-11-30,240,35,83,6,23,15,17,10,40,17,5,3,19,14
SACRAMENTO KINGS,2017-12-01,240,45,85,6,18,11,14,8,35,29,5,10,12,15
CHICAGO BULLS,2017-12-01,240,42,90,13,36,9,13,8,30,30,8,2,8,16
SAN ANTONIO SPURS,2017-12-01,240,31,70,11,27,22,32,7,36,20,8,5,13,18
MEMPHIS GRIZZLIES,2017-12-01,240,30,74,5,15,14,18,8,30,19,8,6,16,26
CHARLOTTE HORNETS,2017-12-01,240,38,79,5,20,19,21,10,30,21,9,5,22,24
MIAMI HEAT,2017-12-01,240,39,80,14,35,13,21,9,30,25,8,4,21,24
MINNESOTA TIMBERWOLVES,2017-12-01,240,39,76,12,24,17,21,6,20,26,7,5,16,20
OKLAHOMA CITY THUNDER,2017-12-01,240,41,79,8,26,21,22,13,29,28,7,7,18,24
GOLDEN STATE WARRIORS,2017-12-01,240,55,88,12,24,11,11,7,35,46,9,11,19,16
ORLANDO MAGIC,2017-12-01,240,44,96,11,28,13,18,13,22,23,9,4,14,15
INDIANA PACERS,2017-12-01,240,45,102,8,26,17,22,15,31,21,7,5,10,17
TORONTO RAPTORS,2017-12-01,240,48,97,10,32,14,21,12,35,29,6,8,12,18
NEW ORLEANS PELICANS,2017-12-01,240,42,87,15,30,9,15,6,36,28,4,7,10,20
UTAH JAZZ,2017-12-01,240,42,85,12,30,18,25,8,38,25,7,3,7,15
DETROIT PISTONS,2017-12-01,240,35,79,9,30,12,19,4,28,20,7,5,15,21
WASHINGTON WIZARDS,2017-12-01,240,43,89,7,21,16,19,16,33,28,12,6,11,20
PHOENIX SUNS,2017-12-02,240,48,101,7,24,8,11,16,31,24,8,1,10,19
BOSTON CELTICS,2017-12-02,240,42,80,14,31,18,23,4,27,32,8,6,9,16
ATLANTA HAWKS,2017-12-02,240,47,99,10,27,10,14,13,34,18,12,5,8,19
BROOKLYN NETS,2017-12-02,240,34,82,17,42,17,21,12,34,26,1,8,19,18
MEMPHIS GRIZZLIES,2017-12-02,240,43,84,13,23,12,14,6,30,31,6,4,12,19
CLEVELAND CAVALIERS,2017-12-02,240,42,75,11,24,21,23,1,30,24,8,7,10,14
LOS ANGELES CLIPPERS,2017-12-02,240,30,86,6,22,16,23,11,27,16,8,6,10,20
DALLAS MAVERICKS,2017-12-02,240,36,79,16,35,20,26,15,39,24,4,7,15,20
LOS ANGELES LAKERS,2017-12-02,240,38,86,9,30,15,21,17,35,21,5,2,21,24
DENVER NUGGETS,2017-12-02,240,40,87,12,31,23,28,9,30,26,8,6,12,19
SACRAMENTO KINGS,2017-12-02,240,37,77,11,24,19,21,6,27,20,7,1,15,28
MILWAUKEE BUCKS,2017-12-02,240,34,69,6,19,35,42,9,27,20,9,6,15,18
DETROIT PISTONS,2017-12-02,240,34,78,9,31,26,32,7,29,20,8,2,16,27
PHILADELPHIA 76ERS,2017-12-02,240,35,86,10,28,28,32,17,30,27,7,4,17,24
NEW ORLEANS PELICANS,2017-12-02,240,45,86,15,31,18,25,4,44,22,2,3,10,16
PORTLAND TRAIL BLAZERS,2017-12-02,240,47,105,11,35,11,11,9,35,20,6,3,4,17
HOUSTON ROCKETS,2017-12-03,240,45,90,14,37,14,17,7,36,17,10,4,15,23
LOS ANGELES LAKERS,2017-12-03,240,32,84,9,28,22,30,11,34,16,9,6,20,22
GOLDEN STATE WARRIORS,2017-12-03,240,47,84,11,30,18,24,7,34,32,4,4,9,14
MIAMI HEAT,2017-12-03,240,33,81,14,37,15,17,5,23,17,5,4,11,15
LOS ANGELES CLIPPERS,2017-12-03,240,37,73,15,34,17,22,8,29,21,3,7,16,26
MINNESOTA TIMBERWOLVES,2017-12-03,240,38,88,8,26,28,31,14,28,22,9,1,7,16
ORLANDO MAGIC,2017-12-03,240,37,82,6,28,25,29,8,34,19,8,3,10,11
NEW YORK KNICKS,2017-12-03,240,43,93,5,15,9,10,10,35,18,4,4,14,24
SAN ANTONIO SPURS,2017-12-03,240,31,76,8,28,17,23,8,31,14,11,9,17,24
OKLAHOMA CITY THUNDER,2017-12-03,240,37,87,6,22,10,21,15,32,21,8,2,20,19
BROOKLYN NETS,2017-12-04,240,41,85,15,36,13,15,12,40,29,7,6,22,28
