team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,2018-03-03,240,39,88,11,33,19,23,14,33,20,6,8,15,21
UTAH JAZZ,2018-03-03,240,34,82,11,32,19,29,11,41,20,9,7,13,19
SACRAMENTO KINGS,2018-03-03,240,34,89,9,30,14,17,11,37,15,7,7,13,24
LOS ANGELES LAKERS,2018-03-03,240,40,92,15,34,21,27,10,36,26,10,4,15,21
SAN ANTONIO SPURS,2018-03-03,240,44,98,7,30,17,20,12,38,28,10,5,16,19
PHOENIX SUNS,2018-03-04,240,46,92,11,26,9,15,5,36,33,6,6,14,19
ATLANTA HAWKS,2018-03-04,240,43,94,17,33,10,12,9,40,23,7,5,16,18
NEW ORLEANS PELICANS,2018-03-04,240,49,91,12,26,16,21,6,41,27,9,4,11,21
DALLAS MAVERICKS,2018-03-04,240,40,90,10,23,19,25,10,33,25,5,2,12,20
BROOKLYN NETS,2018-03-04,240,40,92,19,45,21,23,13,31,30,8,4,14,21
LOS ANGELES CLIPPERS,2018-03-04,240,44,84,10,27,25,30,7,33,18,12,6,10,20
PHILADELPHIA 76ERS,2018-03-04,240,39,70,14,28,18,22,6,26,26,4,9,26,24
MILWAUKEE BUCKS,2018-03-04,240,47,95,10,23,14,22,16,22,27,15,4,13,24
NEW YORK KNICKS,2018-03-04,240,40,88,6,21,13,18,15,33,21,8,7,13,19
SACRAMENTO KINGS,2018-03-04,240,39,86,13,30,11,11,7,31,21,5,5,11,18
CHARLOTTE HORNETS,2018-03-04,240,32,85,5,21,29,35,9,37,16,7,4,9,21
TORONTO RAPTORS,2018-03-04,240,35,83,12,41,21,27,9,41,22,5,8,15,28
INDIANA PACERS,2018-03-04,240,34,77,8,25,22,24,11,32,11,10,0,16,18
WASHINGTON WIZARDS,2018-03-04,240,35,83,10,27,15,19,10,32,21,9,2,14,21
BOSTON CELTICS,2018-03-05,240,41,84,12,36,11,12,12,41,25,7,4,18,13
CHICAGO BULLS,2018-03-05,240,32,81,12,33,13,20,7,29,18,14,1,13,16
DETROIT PISTONS,2018-03-05,240,34,87,12,34,10,15,8,32,17,9,6,11,22
CLEVELAND CAVALIERS,2018-03-05,240,43,88,12,33,14,17,11,42,29,8,2,14,18
MILWAUKEE BUCKS,2018-03-05,240,34,76,7,23,14,16,8,31,15,8,7,16,16
INDIANA PACERS,2018-03-05,240,33,77,10,17,16,21,8,29,18,13,5,14,15
PORTLAND TRAIL BLAZERS,2018-03-05,240,35,83,10,23,28,38,7,43,19,6,5,14,25
LOS ANGELES LAKERS,2018-03-05,240,34,87,11,37,24,31,7,40,20,9,7,10,24
PHOENIX SUNS,2018-03-05,240,42,87,10,24,9,18,12,28,21,3,2,17,20
MIAMI HEAT,2018-03-05,240,47,92,12,36,19,23,16,35,33,12,6,10,14
MEMPHIS GRIZZLIES,2018-03-05,240,42,80,8,22,6,9,6,36,26,8,5,20,22
SAN ANTONIO SPURS,2018-03-05,240,35,76,6,22,24,31,4,32,18,14,4,11,10
ORLANDO MAGIC,2018-03-05,240,29,85,11,34,11,14,6,30,18,7,4,14,19
UTAH JAZZ,2018-03-05,240,36,73,10,31,12,18,6,42,23,8,7,15,22
PHILADELPHIA 76ERS,2018-03-06,240,50,87,16,33,12,15,10,34,35,6,4,14,20
CHARLOTTE HORNETS,2018-03-06,240,40,80,11,29,23,31,8,25,26,7,5,10,12
DENVER NUGGETS,2018-03-06,240,38,92,11,36,20,26,11,38,23,5,8,14,16
DALLAS MAVERICKS,2018-03-06,240,43,90,15,27,17,23,9,42,24,8,3,15,20
BROOKLYN NETS,2018-03-06,240,36,85,9,34,20,25,10,28,24,7,1,12,18
