team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,season
CHICAGO BULLS,2018-02-05,240,32,80,14,36,20,24,9,37,20,6,1,12,21,0.541,0.488,0.45,0.3,20.0,80.4,50.5,62.5,6.4,1.9,11.7,100,105.1,111.5,2017-2018
SACRAMENTO KINGS,2018-02-05,240,37,84,11,32,19,25,9,36,22,5,5,11,17,0.547,0.506,0.381,0.298,19.6,80.0,49.5,59.5,5.4,11.4,10.4,100,111.5,105.1,2017-2018
MEMPHIS GRIZZLIES,2018-02-06,240,34,79,4,22,10,13,9,28,23,7,5,25,24,0.484,0.456,0.278,0.165,24.3,77.8,50.7,67.6,7.3,8.6,22.8,100,85.4,112.4,2017-2018
ATLANTA HAWKS,2018-02-06,240,42,83,8,25,16,21,8,28,29,13,5,13,16,0.585,0.5539999999999999,0.301,0.253,22.2,75.7,49.3,69.0,13.5,8.8,12.4,100,112.4,85.4,2017-2018
HOUSTON ROCKETS,2018-02-06,240,45,81,16,33,17,21,8,32,16,7,7,11,14,0.682,0.654,0.40700000000000003,0.259,22.9,76.2,51.9,35.6,7.6,14.0,10.9,100,134.3,123.4,2017-2018
BROOKLYN NETS,2018-02-06,240,41,85,16,35,15,17,10,27,24,8,2,11,17,0.611,0.5760000000000001,0.41200000000000003,0.2,23.8,77.1,48.1,58.5,8.7,4.2,10.6,100,123.4,134.3,2017-2018
OKLAHOMA CITY THUNDER,2018-02-06,240,44,93,12,31,25,33,10,30,17,14,3,12,28,0.581,0.5379999999999999,0.33299999999999996,0.355,22.2,75.0,47.1,38.6,13.4,6.3,10.0,100,119.3,100.2,2017-2018
GOLDEN STATE WARRIORS,2018-02-06,240,37,76,8,28,23,31,10,35,27,7,8,25,24,0.586,0.539,0.368,0.408,25.0,77.8,52.9,73.0,6.7,12.9,21.8,100,100.2,119.3,2017-2018
PHOENIX SUNS,2018-02-06,240,36,94,8,29,13,23,16,32,24,4,4,11,18,0.447,0.426,0.309,0.245,26.7,72.7,46.2,66.7,4.2,7.0,9.6,100,96.8,116.5,2017-2018
LOS ANGELES LAKERS,2018-02-06,240,39,83,11,26,23,26,12,44,19,7,7,14,21,0.593,0.536,0.313,0.313,27.3,73.3,53.8,48.7,7.3,10.8,12.9,100,116.5,96.8,2017-2018
MILWAUKEE BUCKS,2018-02-06,240,37,82,8,26,21,27,8,35,23,11,6,14,17,0.5489999999999999,0.5,0.317,0.32899999999999996,18.2,76.1,47.8,62.2,11.2,9.1,13.0,100,104.7,90.5,2017-2018
NEW YORK KNICKS,2018-02-06,240,37,89,5,23,10,15,11,36,20,5,6,17,19,0.465,0.444,0.258,0.16899999999999998,23.9,81.8,52.2,54.1,5.1,10.7,15.1,100,90.5,104.7,2017-2018
CLEVELAND CAVALIERS,2018-02-06,240,36,84,12,37,14,20,9,27,19,4,4,14,24,0.528,0.5,0.44,0.23800000000000002,19.1,69.2,41.9,52.8,4.1,6.1,13.1,100,101.5,120.1,2017-2018
ORLANDO MAGIC,2018-02-06,240,46,88,6,22,18,27,12,38,27,7,8,12,16,0.581,0.557,0.25,0.307,30.8,80.9,58.1,58.7,7.2,17.0,10.7,100,120.1,101.5,2017-2018
WASHINGTON WIZARDS,2018-02-06,240,41,93,7,27,13,18,16,23,23,14,2,11,18,0.505,0.478,0.29,0.19399999999999998,32.7,65.7,46.4,56.1,15.2,3.7,9.8,100,110.8,125.0,2017-2018
PHILADELPHIA 76ERS,2018-02-06,240,45,82,14,28,11,14,12,33,27,9,4,17,14,0.652,0.634,0.341,0.171,34.3,67.3,53.6,60.0,9.8,6.1,16.2,100,125.0,110.8,2017-2018
BOSTON CELTICS,2018-02-06,240,33,83,10,23,15,20,9,29,21,3,3,17,19,0.496,0.45799999999999996,0.27699999999999997,0.24100000000000002,20.5,85.3,48.7,63.6,3.1,6.8,15.6,100,94.5,115.3,2017-2018
TORONTO RAPTORS,2018-02-06,240,40,80,17,36,14,17,5,35,29,10,4,15,18,0.634,0.606,0.45,0.213,14.7,79.5,51.3,72.5,10.4,6.7,14.6,100,115.3,94.5,2017-2018
MINNESOTA TIMBERWOLVES,2018-02-07,265,54,93,19,33,11,12,4,31,33,7,4,11,19,0.7020000000000001,0.6829999999999999,0.355,0.129,10.5,81.6,46.1,61.1,6.7,8.5,10.1,100,131.7,133.6,2017-2018
CLEVELAND CAVALIERS,2018-02-07,265,52,88,21,41,15,23,7,34,33,5,1,15,21,0.713,0.71,0.466,0.261,18.4,89.5,53.9,63.5,4.8,1.7,13.3,100,133.6,131.7,2017-2018
BROOKLYN NETS,2018-02-07,240,39,90,17,51,11,12,8,42,33,4,6,19,20,0.556,0.528,0.5670000000000001,0.133,17.4,84.0,52.1,84.6,3.9,8.8,16.6,100,103.4,112.1,2017-2018
DETROIT PISTONS,2018-02-07,240,44,92,9,24,18,25,8,38,20,10,3,7,12,0.5579999999999999,0.527,0.261,0.272,16.0,82.6,47.9,45.5,9.8,7.7,6.4,100,112.1,103.4,2017-2018
UTAH JAZZ,2018-02-07,240,29,69,6,22,28,33,9,34,14,6,4,19,16,0.551,0.46399999999999997,0.319,0.478,25.0,79.1,54.4,48.3,6.6,6.9,18.5,100,100.9,96.5,2017-2018
MEMPHIS GRIZZLIES,2018-02-07,240,34,81,8,23,12,16,9,27,18,12,5,15,26,0.5,0.469,0.284,0.198,20.9,75.0,45.6,52.9,13.2,10.6,14.6,100,96.5,100.9,2017-2018
HOUSTON ROCKETS,2018-02-07,240,38,74,12,31,21,26,4,31,16,8,6,9,16,0.638,0.595,0.419,0.35100000000000003,13.3,67.4,46.1,42.1,9.0,10.7,9.5,100,123.2,114.1,2017-2018
MIAMI HEAT,2018-02-07,240,39,88,13,32,10,12,15,26,23,3,3,13,17,0.541,0.517,0.364,0.136,32.6,86.7,53.9,59.0,3.4,7.0,12.2,100,114.1,123.2,2017-2018
SAN ANTONIO SPURS,2018-02-07,240,46,93,16,32,21,27,14,48,26,6,6,12,17,0.615,0.581,0.344,0.29,29.8,81.4,58.5,56.5,5.9,9.2,10.3,100,126.9,79.7,2017-2018
PHOENIX SUNS,2018-02-07,240,33,97,3,32,12,18,11,33,15,8,4,11,23,0.386,0.35600000000000004,0.33,0.18600000000000003,18.6,70.2,41.5,45.5,7.9,6.6,9.5,100,79.7,126.9,2017-2018
DALLAS MAVERICKS,2018-02-08,240,40,92,9,37,14,17,9,25,19,15,7,10,16,0.518,0.484,0.402,0.185,21.4,58.1,40.0,47.5,15.8,11.9,9.1,100,108.6,127.6,2017-2018
GOLDEN STATE WARRIORS,2018-02-08,240,45,88,14,29,17,20,18,33,37,6,7,16,18,0.625,0.591,0.33,0.22699999999999998,41.9,78.6,60.0,82.2,6.3,12.7,14.2,100,127.6,108.6,2017-2018
OKLAHOMA CITY THUNDER,2018-02-08,240,32,90,8,34,9,19,17,33,16,6,4,13,11,0.41200000000000003,0.4,0.37799999999999995,0.21100000000000002,30.9,71.7,49.5,50.0,6.5,6.2,11.7,100,87.9,115.0,2017-2018
LOS ANGELES LAKERS,2018-02-08,240,42,96,10,31,12,13,13,38,28,5,7,8,19,0.521,0.49,0.32299999999999995,0.135,28.3,69.1,50.5,66.7,5.4,12.5,7.3,100,115.0,87.9,2017-2018
ATLANTA HAWKS,2018-02-08,240,37,87,12,30,12,18,9,37,25,4,7,17,23,0.516,0.494,0.345,0.207,24.3,82.2,56.1,67.6,4.1,12.7,15.2,100,100.6,102.6,2017-2018
ORLANDO MAGIC,2018-02-08,240,36,84,9,29,19,22,8,28,20,10,6,13,22,0.534,0.48200000000000004,0.345,0.262,17.8,75.7,43.9,55.6,10.3,10.5,12.2,100,102.6,100.6,2017-2018
CHARLOTTE HORNETS,2018-02-08,265,38,98,13,33,14,17,7,37,17,10,3,11,16,0.488,0.45399999999999996,0.337,0.17300000000000001,12.7,80.4,43.6,44.7,9.4,5.1,9.4,100,96.6,102.3,2017-2018
PORTLAND TRAIL BLAZERS,2018-02-08,265,41,90,9,31,18,22,9,48,18,7,7,17,19,0.547,0.506,0.344,0.244,19.6,87.3,56.4,43.9,6.6,10.8,14.6,100,102.3,96.6,2017-2018
NEW YORK KNICKS,2018-02-08,240,33,83,7,27,15,18,5,38,19,4,8,15,15,0.484,0.44,0.325,0.217,10.4,80.9,45.3,57.6,4.0,15.4,14.2,100,89.1,114.4,2017-2018
TORONTO RAPTORS,2018-02-08,240,43,95,16,43,11,14,9,43,31,11,5,8,17,0.5589999999999999,0.537,0.45299999999999996,0.147,19.1,89.6,54.7,72.1,11.1,8.9,7.3,100,114.4,89.1,2017-2018
BOSTON CELTICS,2018-02-08,265,39,84,9,26,23,34,7,38,16,9,6,18,20,0.556,0.518,0.31,0.405,16.7,69.1,46.4,41.0,8.5,8.7,15.4,100,103.9,98.2,2017-2018
WASHINGTON WIZARDS,2018-02-08,265,38,95,12,26,16,20,17,35,28,11,4,20,23,0.501,0.46299999999999997,0.27399999999999997,0.21100000000000002,30.9,83.3,53.6,73.7,10.4,6.9,16.2,100,98.2,103.9,2017-2018
CLEVELAND CAVALIERS,2018-02-09,240,46,86,15,35,16,24,6,37,31,8,4,9,17,0.637,0.622,0.40700000000000003,0.27899999999999997,14.3,86.0,50.6,67.4,8.2,10.3,8.5,100,126.7,110.2,2017-2018
ATLANTA HAWKS,2018-02-09,240,37,83,16,44,17,19,6,36,20,4,4,12,18,0.586,0.542,0.53,0.22899999999999998,14.0,85.7,49.4,54.1,4.1,7.8,11.6,100,110.2,126.7,2017-2018
INDIANA PACERS,2018-02-09,240,37,83,5,20,18,22,13,40,18,6,5,13,20,0.523,0.47600000000000003,0.24100000000000002,0.265,33.3,76.9,58.2,48.6,6.6,8.1,12.3,100,106.7,100.1,2017-2018
BOSTON CELTICS,2018-02-09,240,34,89,7,27,16,20,12,26,16,5,8,10,21,0.465,0.42100000000000004,0.303,0.225,23.1,66.7,41.8,47.1,5.5,12.7,9.3,100,100.1,106.7,2017-2018
MINNESOTA TIMBERWOLVES,2018-02-09,240,41,87,8,22,23,28,11,35,19,8,4,13,22,0.569,0.517,0.253,0.322,24.4,87.5,54.1,46.3,8.0,7.0,11.6,100,113.3,114.3,2017-2018
CHICAGO BULLS,2018-02-09,240,41,83,9,26,23,30,5,34,22,5,4,11,19,0.593,0.5479999999999999,0.313,0.361,12.5,75.6,45.9,53.7,5.0,6.2,10.3,100,114.3,113.3,2017-2018
LOS ANGELES CLIPPERS,2018-02-09,240,42,91,10,30,14,15,14,43,23,6,3,9,16,0.5529999999999999,0.516,0.33,0.165,29.8,86.0,58.8,54.8,6.4,5.3,8.4,100,115.9,101.9,2017-2018
DETROIT PISTONS,2018-02-09,240,36,88,10,31,13,17,7,33,22,5,5,9,16,0.49700000000000005,0.466,0.35200000000000004,0.193,14.0,70.2,41.2,61.1,5.4,8.2,8.6,100,101.9,115.9,2017-2018
DENVER NUGGETS,2018-02-09,240,42,88,3,28,17,21,7,32,25,7,2,10,20,0.535,0.494,0.318,0.239,15.9,74.4,44.8,59.5,7.1,4.4,9.3,100,105.4,131.7,2017-2018
HOUSTON ROCKETS,2018-02-09,240,43,86,19,41,25,34,11,37,26,5,7,11,16,0.644,0.61,0.47700000000000004,0.395,25.6,84.1,55.2,60.5,5.1,11.7,9.8,100,131.7,105.4,2017-2018
MILWAUKEE BUCKS,2018-02-09,240,32,76,6,20,15,17,2,35,18,9,9,17,20,0.509,0.461,0.263,0.22399999999999998,5.0,72.9,42.0,56.3,9.4,14.5,16.9,100,88.3,94.6,2017-2018
MIAMI HEAT,2018-02-09,240,32,88,10,26,17,18,13,38,16,7,7,16,21,0.474,0.42,0.295,0.205,27.1,95.0,58.0,50.0,7.3,12.5,14.3,100,94.6,88.3,2017-2018
NEW ORLEANS PELICANS,2018-02-09,240,33,95,8,31,8,16,8,38,17,8,6,12,12,0.402,0.389,0.326,0.168,13.8,82.6,44.2,51.5,7.8,10.2,10.5,100,79.7,97.2,2017-2018
PHILADELPHIA 76ERS,2018-02-09,240,39,93,14,34,8,9,8,50,26,10,4,15,16,0.516,0.495,0.366,0.09699999999999999,17.4,86.2,55.8,66.7,9.7,6.3,13.4,100,97.2,79.7,2017-2018
PORTLAND TRAIL BLAZERS,2018-02-09,240,43,88,15,35,17,18,9,36,18,10,4,11,21,0.615,0.574,0.39799999999999996,0.205,22.5,75.0,51.1,41.9,10.4,6.0,10.3,100,123.0,104.2,2017-2018
SACRAMENTO KINGS,2018-02-09,240,38,90,9,23,15,21,12,31,25,5,3,12,19,0.504,0.47200000000000003,0.256,0.233,25.0,77.5,48.9,65.8,5.2,5.7,10.8,100,104.2,123.0,2017-2018
CHARLOTTE HORNETS,2018-02-09,240,35,85,9,24,15,19,5,28,17,8,2,7,18,0.503,0.465,0.282,0.22399999999999998,10.6,80.0,40.2,48.6,8.5,3.6,7.0,100,100.3,113.1,2017-2018
UTAH JAZZ,2018-02-09,240,41,84,10,29,14,17,7,42,29,5,7,12,17,0.579,0.5479999999999999,0.345,0.20199999999999999,20.0,89.4,59.8,70.7,5.3,11.5,11.6,100,113.1,100.3,2017-2018
NEW ORLEANS PELICANS,2018-02-10,290,52,106,9,24,25,39,14,45,23,10,10,15,18,0.56,0.5329999999999999,0.226,0.368,25.0,71.4,49.6,44.2,8.4,18.2,10.9,100,115.8,107.5,2017-2018
BROOKLYN NETS,2018-02-10,290,43,114,21,59,21,22,18,42,30,10,3,15,30,0.517,0.469,0.518,0.193,28.6,75.0,50.4,69.8,8.4,3.7,10.8,100,107.5,115.8,2017-2018
WASHINGTON WIZARDS,2018-02-10,240,38,82,13,38,12,14,6,35,31,8,3,13,17,0.573,0.5429999999999999,0.46299999999999997,0.171,14.3,79.5,47.7,81.6,8.7,6.3,12.9,100,109.7,97.7,2017-2018
CHICAGO BULLS,2018-02-10,240,34,80,9,32,13,16,9,36,23,11,2,14,16,0.517,0.48100000000000004,0.4,0.2,20.5,85.7,52.3,67.6,11.9,4.5,13.9,100,97.7,109.7,2017-2018
LOS ANGELES LAKERS,2018-02-10,240,46,84,16,34,15,22,9,28,29,7,0,17,25,0.6559999999999999,0.643,0.405,0.262,23.1,73.7,48.1,63.0,7.1,0.0,15.4,100,124.4,131.5,2017-2018
DALLAS MAVERICKS,2018-02-10,240,48,89,12,27,22,27,10,30,32,8,3,9,21,0.644,0.607,0.303,0.303,26.3,76.9,51.9,66.7,8.1,6.0,8.2,100,131.5,124.4,2017-2018
SAN ANTONIO SPURS,2018-02-10,240,43,94,5,27,14,19,11,23,30,8,5,10,13,0.513,0.484,0.287,0.20199999999999999,25.0,67.6,43.6,69.8,8.3,8.6,8.9,100,109.3,127.0,2017-2018
GOLDEN STATE WARRIORS,2018-02-10,240,48,85,12,27,14,15,11,33,35,5,6,16,18,0.6659999999999999,0.635,0.318,0.17600000000000002,32.4,75.0,56.4,72.9,5.2,9.0,14.9,100,127.0,109.3,2017-2018
MILWAUKEE BUCKS,2018-02-10,240,43,82,9,25,16,20,8,33,28,7,4,12,16,0.611,0.579,0.305,0.244,20.5,76.7,50.0,65.1,7.5,7.5,11.7,100,118.5,111.0,2017-2018
ORLANDO MAGIC,2018-02-10,240,37,83,8,30,22,26,10,31,23,7,3,12,14,0.551,0.494,0.361,0.313,23.3,79.5,50.0,62.2,7.5,5.3,11.3,100,111.0,118.5,2017-2018
LOS ANGELES CLIPPERS,2018-02-10,240,38,88,8,32,14,23,11,42,20,7,5,16,16,0.499,0.47700000000000004,0.364,0.261,22.0,87.5,54.1,52.6,6.9,8.8,14.0,100,96.1,109.8,2017-2018
PHILADELPHIA 76ERS,2018-02-10,240,43,90,13,33,13,17,6,39,32,12,8,12,18,0.574,0.55,0.36700000000000005,0.18899999999999997,12.5,78.0,45.9,74.4,11.8,14.3,11.0,100,109.8,96.1,2017-2018
DENVER NUGGETS,2018-02-10,240,45,88,13,29,20,22,6,31,20,10,5,13,23,0.63,0.585,0.33,0.25,17.6,79.5,50.7,44.4,9.9,7.7,11.7,100,121.6,111.7,2017-2018
PHOENIX SUNS,2018-02-10,240,46,84,7,19,14,25,8,28,24,7,9,15,24,0.595,0.589,0.226,0.298,20.5,82.4,49.3,52.2,6.9,15.3,13.6,100,111.7,121.6,2017-2018
DETROIT PISTONS,2018-02-11,240,38,83,13,33,26,33,12,28,30,6,4,15,28,0.59,0.536,0.39799999999999996,0.39799999999999996,27.9,87.5,53.3,78.9,6.1,8.2,13.3,100,116.0,119.1,2017-2018
ATLANTA HAWKS,2018-02-11,240,38,78,10,29,32,37,4,31,27,10,3,13,26,0.626,0.551,0.37200000000000005,0.474,12.5,72.1,46.7,71.1,10.1,6.0,12.1,100,119.1,116.0,2017-2018
CLEVELAND CAVALIERS,2018-02-11,240,45,84,16,30,15,20,5,36,22,7,6,11,20,0.652,0.631,0.35700000000000004,0.23800000000000002,14.3,73.5,48.8,48.9,7.2,11.8,10.6,100,124.9,102.2,2017-2018
BOSTON CELTICS,2018-02-11,240,36,89,10,38,17,22,13,30,22,3,4,14,14,0.502,0.461,0.42700000000000005,0.247,26.5,85.7,51.2,61.1,3.1,7.4,12.4,100,102.2,124.9,2017-2018
TORONTO RAPTORS,2018-02-11,240,49,87,18,37,7,10,6,34,35,7,8,12,24,0.6729999999999999,0.667,0.425,0.115,16.2,75.6,48.8,71.4,7.2,12.1,11.6,100,126.6,106.0,2017-2018
CHARLOTTE HORNETS,2018-02-11,240,38,89,10,23,17,23,11,31,26,5,5,13,13,0.52,0.483,0.258,0.258,24.4,83.8,51.2,68.4,5.1,10.0,11.6,100,106.0,126.6,2017-2018
DALLAS MAVERICKS,2018-02-11,240,38,93,10,31,11,16,12,40,26,6,4,14,25,0.485,0.462,0.33299999999999996,0.172,23.1,95.2,55.3,68.4,6.1,12.1,12.3,100,98.1,105.2,2017-2018
HOUSTON ROCKETS,2018-02-11,240,34,78,13,45,23,33,2,40,15,9,7,9,18,0.562,0.519,0.5770000000000001,0.423,4.8,76.9,44.7,44.1,9.1,11.3,8.9,100,105.2,98.1,2017-2018
NEW YORK KNICKS,2018-02-11,240,41,93,9,35,22,25,12,33,27,8,3,11,18,0.5429999999999999,0.489,0.376,0.26899999999999996,24.0,67.3,45.5,65.9,8.0,4.5,9.6,100,113.0,121.0,2017-2018
INDIANA PACERS,2018-02-11,240,47,94,12,28,15,22,16,38,27,7,5,13,16,0.584,0.564,0.298,0.23399999999999999,32.7,76.0,54.5,57.4,7.0,8.6,11.1,100,121.0,113.0,2017-2018
SACRAMENTO KINGS,2018-02-11,240,42,88,10,25,12,17,15,28,17,12,2,18,23,0.555,0.534,0.284,0.193,34.1,77.8,53.8,40.5,12.6,4.0,15.9,100,111.6,116.8,2017-2018
MINNESOTA TIMBERWOLVES,2018-02-11,240,37,74,9,24,28,32,8,29,29,10,5,16,17,0.63,0.561,0.324,0.43200000000000005,22.2,65.9,46.3,78.4,10.5,7.9,15.4,100,116.8,111.6,2017-2018
MEMPHIS GRIZZLIES,2018-02-11,240,32,82,6,28,22,24,12,35,21,4,5,17,32,0.49700000000000005,0.42700000000000005,0.341,0.293,29.3,79.5,55.3,65.6,4.3,12.5,15.5,100,99.2,118.6,2017-2018
OKLAHOMA CITY THUNDER,2018-02-11,240,34,77,16,37,26,40,9,29,21,6,3,9,23,0.581,0.545,0.48100000000000004,0.519,20.5,70.7,44.7,61.8,6.5,5.6,8.7,100,118.6,99.2,2017-2018
UTAH JAZZ,2018-02-11,240,41,88,13,26,20,22,16,42,23,8,4,13,22,0.589,0.54,0.295,0.25,34.0,87.5,61.1,56.1,8.4,7.1,11.7,100,120.9,100.9,2017-2018
PORTLAND TRAIL BLAZERS,2018-02-11,240,33,81,9,25,21,25,6,31,16,7,4,13,22,0.522,0.46299999999999997,0.309,0.309,12.5,66.0,38.9,48.5,7.4,6.5,12.4,100,100.9,120.9,2017-2018
LOS ANGELES CLIPPERS,2018-02-12,240,48,85,6,16,12,14,8,35,19,8,6,15,14,0.625,0.6,0.188,0.165,22.9,77.8,53.8,39.6,8.4,12.2,14.1,100,119.9,106.2,2017-2018
BROOKLYN NETS,2018-02-12,240,41,89,12,40,7,10,10,27,27,10,6,12,15,0.541,0.528,0.449,0.11199999999999999,22.2,77.1,46.3,65.9,10.5,8.7,11.4,100,106.2,119.9,2017-2018
ORLANDO MAGIC,2018-02-12,240,37,84,10,31,17,19,7,32,24,8,7,9,18,0.547,0.5,0.369,0.226,16.7,74.4,45.9,64.9,8.6,12.5,8.9,100,108.3,112.6,2017-2018
CHICAGO BULLS,2018-02-12,240,40,88,9,32,16,21,11,35,25,6,3,11,13,0.54,0.506,0.364,0.239,25.6,83.3,54.1,62.5,6.4,5.7,10.2,100,112.6,108.3,2017-2018
NEW ORLEANS PELICANS,2018-02-12,240,44,100,14,34,16,16,10,43,31,6,7,11,25,0.551,0.51,0.34,0.16,20.0,75.4,49.5,70.5,5.7,11.7,9.3,100,111.6,97.4,2017-2018
DETROIT PISTONS,2018-02-12,240,35,95,9,35,24,32,14,40,18,5,3,14,19,0.47200000000000003,0.41600000000000004,0.368,0.337,24.6,80.0,50.5,51.4,4.7,4.5,11.4,100,97.4,111.6,2017-2018
PHOENIX SUNS,2018-02-12,240,33,95,3,23,14,22,15,32,13,2,3,15,17,0.396,0.363,0.242,0.23199999999999998,26.3,82.1,49.0,39.4,2.0,4.8,12.5,100,81.9,127.3,2017-2018
GOLDEN STATE WARRIORS,2018-02-12,240,52,89,11,26,14,21,7,42,36,8,16,11,18,0.657,0.6459999999999999,0.292,0.23600000000000002,17.9,73.7,51.0,69.2,7.9,22.2,10.1,100,127.3,81.9,2017-2018
NEW YORK KNICKS,2018-02-12,240,31,79,6,24,24,28,7,26,16,5,4,19,22,0.504,0.43,0.304,0.354,18.9,78.8,47.1,51.6,5.2,7.1,17.2,100,95.2,111.7,2017-2018
PHILADELPHIA 76ERS,2018-02-12,240,41,75,10,19,16,24,7,30,27,13,6,17,22,0.631,0.613,0.253,0.32,21.2,81.1,52.9,65.9,13.4,10.9,16.6,100,111.7,95.2,2017-2018
SAN ANTONIO SPURS,2018-02-12,240,38,85,6,25,17,25,8,36,23,5,8,11,24,0.516,0.48200000000000004,0.294,0.294,19.0,80.0,50.6,60.5,5.2,13.3,10.3,100,103.7,105.8,2017-2018
UTAH JAZZ,2018-02-12,240,35,84,11,24,20,30,9,34,15,7,5,9,24,0.52,0.48200000000000004,0.28600000000000003,0.35700000000000004,20.0,81.0,49.4,42.9,7.3,8.3,8.5,100,105.8,103.7,2017-2018
SACRAMENTO KINGS,2018-02-13,240,47,87,12,29,8,12,5,33,30,6,4,9,19,0.618,0.609,0.33299999999999996,0.138,13.2,89.2,50.7,63.8,6.3,9.3,8.9,100,119.3,114.0,2017-2018
DALLAS MAVERICKS,2018-02-13,240,38,83,15,40,18,23,4,33,29,4,4,9,15,0.585,0.5479999999999999,0.48200000000000004,0.27699999999999997,10.8,86.8,49.3,76.3,4.2,6.9,8.8,100,114.0,119.3,2017-2018
SAN ANTONIO SPURS,2018-02-13,240,44,82,6,22,15,22,10,32,24,6,7,18,22,0.594,0.573,0.268,0.268,29.4,74.4,54.5,54.5,6.1,11.5,16.4,100,111.7,119.9,2017-2018
DENVER NUGGETS,2018-02-13,240,46,93,10,32,15,18,11,24,29,10,3,11,18,0.58,0.5479999999999999,0.344,0.19399999999999998,25.6,70.6,45.5,63.0,10.2,5.0,9.8,100,119.9,111.7,2017-2018
ATLANTA HAWKS,2018-02-13,240,33,86,12,35,14,20,14,36,21,7,6,12,14,0.485,0.45299999999999996,0.40700000000000003,0.233,29.2,72.0,51.0,63.6,7.8,9.5,11.2,100,102.6,108.2,2017-2018
MILWAUKEE BUCKS,2018-02-13,240,38,88,8,25,13,17,14,34,23,6,10,10,18,0.508,0.47700000000000004,0.284,0.193,28.0,70.8,49.0,60.5,6.7,19.6,9.5,100,108.2,102.6,2017-2018
HOUSTON ROCKETS,2018-02-13,240,41,83,22,47,22,29,9,28,25,1,4,6,23,0.6579999999999999,0.627,0.5660000000000001,0.349,22.5,75.7,48.1,61.0,1.1,6.6,5.9,100,139.8,119.8,2017-2018
MINNESOTA TIMBERWOLVES,2018-02-13,240,40,84,6,23,22,23,9,31,22,3,4,8,20,0.574,0.512,0.27399999999999997,0.27399999999999997,24.3,77.5,51.9,55.0,3.3,11.1,7.8,100,119.8,139.8,2017-2018
CLEVELAND CAVALIERS,2018-02-13,240,45,88,16,36,14,22,10,31,24,6,3,7,28,0.614,0.602,0.409,0.25,23.3,63.3,44.6,53.3,6.5,5.5,6.7,100,130.1,121.4,2017-2018
OKLAHOMA CITY THUNDER,2018-02-13,240,40,90,11,35,21,30,18,33,23,6,3,9,20,0.5429999999999999,0.506,0.389,0.33299999999999996,36.7,76.7,55.4,57.5,6.5,5.8,8.0,100,121.4,130.1,2017-2018
MIAMI HEAT,2018-02-13,240,42,86,12,29,16,19,10,41,24,5,3,16,18,0.593,0.5579999999999999,0.337,0.221,23.3,85.4,56.0,57.1,5.0,5.5,14.5,100,112.9,116.0,2017-2018
TORONTO RAPTORS,2018-02-13,240,42,90,13,35,18,23,7,33,24,7,3,8,19,0.574,0.539,0.389,0.256,14.6,76.7,44.0,57.1,7.1,5.3,7.4,100,116.0,112.9,2017-2018
LOS ANGELES CLIPPERS,2018-02-14,240,44,88,11,29,30,33,7,36,26,5,5,7,21,0.629,0.563,0.33,0.375,16.7,76.6,48.3,59.1,5.0,7.6,6.4,100,129.0,119.0,2017-2018
BOSTON CELTICS,2018-02-14,240,42,97,15,31,20,21,11,35,24,4,7,8,31,0.56,0.51,0.32,0.21600000000000003,23.4,83.3,51.7,57.1,4.0,11.9,7.0,100,119.0,129.0,2017-2018
INDIANA PACERS,2018-02-14,240,39,90,6,15,24,28,15,37,20,10,7,8,20,0.528,0.467,0.16699999999999998,0.311,30.0,80.4,54.2,51.3,10.5,14.6,7.3,100,113.9,108.7,2017-2018
BROOKLYN NETS,2018-02-14,240,35,83,13,35,20,27,9,35,24,4,2,13,20,0.5429999999999999,0.5,0.42200000000000004,0.325,19.6,70.0,45.8,68.6,4.2,2.7,12.1,100,108.7,113.9,2017-2018
TORONTO RAPTORS,2018-02-14,240,48,92,14,38,12,15,5,45,38,5,8,7,22,0.619,0.598,0.413,0.163,11.6,91.8,54.3,79.2,5.0,11.9,6.6,100,122.0,98.0,2017-2018
CHICAGO BULLS,2018-02-14,240,39,91,4,24,16,20,4,38,17,5,6,6,16,0.491,0.451,0.264,0.22,8.2,88.4,45.7,43.6,5.0,11.1,5.7,100,98.0,122.0,2017-2018
ATLANTA HAWKS,2018-02-14,240,38,89,6,33,16,19,8,35,25,9,4,11,21,0.503,0.461,0.371,0.213,17.8,77.8,47.8,65.8,9.2,8.0,10.2,100,100.3,106.4,2017-2018
DETROIT PISTONS,2018-02-14,240,35,83,13,33,21,25,10,37,26,3,5,16,18,0.5529999999999999,0.5,0.39799999999999996,0.301,22.2,82.2,52.2,74.3,3.1,8.9,14.5,100,106.4,100.3,2017-2018
SACRAMENTO KINGS,2018-02-14,240,38,87,10,32,5,8,9,39,26,8,5,17,20,0.503,0.494,0.368,0.092,18.0,84.8,50.0,68.4,8.2,14.7,15.8,100,93.6,102.9,2017-2018
