team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,season
MINNESOTA TIMBERWOLVES,2013-11-03,240,35,79,10,27,29,38,10,33,23,9,1,12,16,0.569,0.506,0.342,0.48100000000000004,22.2,70.2,46.7,65.7,9.5,1.8,11.1,100,114.5,105.1,2013-2014
NEW YORK KNICKS,2013-11-03,240,40,89,9,32,11,13,14,35,21,7,3,16,26,0.528,0.5,0.36,0.146,29.8,77.8,53.3,52.5,7.4,5.8,14.5,100,105.1,114.5,2013-2014
PHOENIX SUNS,2013-11-03,240,32,80,14,37,18,22,12,31,21,11,3,23,23,0.535,0.488,0.46299999999999997,0.275,27.9,75.6,51.2,65.6,11.2,4.7,20.4,100,97.5,104.6,2013-2014
OKLAHOMA CITY THUNDER,2013-11-03,240,35,82,2,18,31,37,10,31,20,8,4,15,22,0.524,0.439,0.22,0.451,24.4,72.1,48.8,57.1,8.1,9.3,13.2,100,104.6,97.5,2013-2014
BROOKLYN NETS,2013-11-03,240,34,89,4,17,14,15,11,31,23,5,8,12,23,0.45,0.40399999999999997,0.191,0.16899999999999998,21.2,70.5,43.8,67.6,5.2,11.1,11.2,100,89.4,111.2,2013-2014
ORLANDO MAGIC,2013-11-03,240,42,89,7,17,16,22,13,41,19,7,4,15,19,0.542,0.511,0.191,0.247,29.5,78.8,56.3,45.2,7.3,5.6,13.2,100,111.2,89.4,2013-2014
MINNESOTA TIMBERWOLVES,2013-11-04,240,34,94,5,28,19,24,12,31,21,16,5,17,15,0.44,0.38799999999999996,0.298,0.255,24.0,73.8,46.7,61.8,15.6,7.2,14.0,100,89.9,90.9,2013-2014
CLEVELAND CAVALIERS,2013-11-04,240,39,85,5,16,10,11,11,38,22,10,12,23,24,0.518,0.488,0.188,0.129,26.2,76.0,53.3,56.4,9.8,18.2,20.4,100,90.9,89.9,2013-2014
HOUSTON ROCKETS,2013-11-04,240,41,82,7,25,29,43,13,33,21,7,3,15,22,0.585,0.5429999999999999,0.305,0.524,31.0,78.6,54.8,51.2,6.8,5.4,12.9,100,114.8,133.3,2013-2014
LOS ANGELES CLIPPERS,2013-11-04,240,49,94,15,38,24,28,9,29,33,7,7,10,29,0.644,0.601,0.40399999999999997,0.298,21.4,69.0,45.2,67.3,6.8,12.3,8.6,100,133.3,114.8,2013-2014
BOSTON CELTICS,2013-11-04,240,33,70,7,20,15,18,4,28,14,9,6,17,21,0.565,0.521,0.28600000000000003,0.257,12.9,75.7,47.1,42.4,10.0,10.2,17.9,100,97.8,105.6,2013-2014
MEMPHIS GRIZZLIES,2013-11-04,240,36,74,5,15,18,22,9,27,23,6,2,18,19,0.568,0.52,0.203,0.297,24.3,87.1,52.9,63.9,6.7,4.0,17.7,100,105.6,97.8,2013-2014
GOLDEN STATE WARRIORS,2013-11-04,240,41,92,15,38,13,20,13,41,28,18,7,22,24,0.546,0.527,0.413,0.217,25.5,74.5,50.9,68.3,16.4,11.1,17.9,100,100.3,82.1,2013-2014
