team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
MINNESOTA TIMBERWOLVES,2014-10-30,240,37,76,4,10,19,28,10,33,18,8,3,12,21,0.549,0.513,0.132,0.368,23.8,70.2,48.3,48.6,8.9,4.3,12,100,107.4,100.8
WASHINGTON WIZARDS,2014-10-30,240,39,80,7,13,20,26,6,31,22,10,0,12,25,0.574,0.531,0.163,0.325,16.7,91.2,52.9,56.4,10.5,0,11.6,100,109.7,102.4
ORLANDO MAGIC,2014-10-30,240,37,72,6,15,18,24,3,30,20,4,1,18,23,0.594,0.556,0.208,0.333,8.8,83.3,47.1,54.1,4.2,1.5,17.9,100,102.4,109.7
CLEVELAND CAVALIERS,2014-10-31,265,41,104,3,15,29,33,20,32,18,8,4,9,18,0.481,0.409,0.144,0.317,39.2,74.4,55.3,43.9,7.9,6.8,7.1,100,112.8,106.9
CHICAGO BULLS,2014-10-31,265,41,90,13,31,13,17,11,31,25,4,14,19,28,0.554,0.528,0.344,0.189,25.6,60.8,44.7,61,4,15.7,16.3,100,106.9,112.8
MEMPHIS GRIZZLIES,2014-10-31,240,35,79,7,19,20,27,11,29,20,11,2,9,21,0.534,0.487,0.241,0.342,23.9,72.5,46.5,57.1,12.6,3.8,9,100,111.4,102.2
INDIANA PACERS,2014-10-31,240,34,74,8,21,13,16,11,35,19,5,3,18,15,0.549,0.514,0.284,0.216,27.5,76.1,53.5,55.9,5.7,5,18.2,100,102.2,111.4
LOS ANGELES CLIPPERS,2014-10-31,240,34,71,12,33,38,44,6,30,25,6,2,14,26,0.653,0.563,0.465,0.62,16.2,76.9,47.4,73.5,6.2,3.2,13.4,100,122,114.7
LOS ANGELES LAKERS,2014-10-31,240,42,82,7,20,20,28,9,31,24,5,2,14,35,0.588,0.555,0.244,0.341,23.1,83.8,52.6,57.1,5.2,5.3,12.9,100,114.7,122
PHILADELPHIA 76ERS,2014-10-31,240,32,86,5,23,12,22,12,30,20,9,5,16,18,0.423,0.401,0.267,0.256,23.1,66.7,43.3,62.5,9.3,7.8,14.3,100,83.8,96.2
MILWAUKEE BUCKS,2014-10-31,240,36,88,9,24,12,21,15,40,25,10,11,18,19,0.478,0.46,0.273,0.239,33.3,76.9,56.7,69.4,10.3,17.5,15.6,100,96.2,83.8
SAN ANTONIO SPURS,2014-10-31,240,32,78,8,25,17,23,5,40,20,3,3,12,25,0.505,0.462,0.321,0.295,11.6,76.9,47.4,62.5,3.2,4.3,12,100,96.2,101.6
